post_id,text,disease,label
106971009,"Your ignorance stinks to heaven. You want to treat/prevent HIV and Hepatitis with antibiotics, right?And just because your forefathers didn't know anything about condoms, should that means you that know about condoms shouldn't use it?",hepatitis,1
56034598,"Why the sad look these days? Abi, him get malaria ni?",malaria,1
9288786,"Just lifted that directly from his/her pc! btw,go check your books again!, pt may have been to the tropics lately!, Remember pts could have malaria months after visiting the tropics!",malaria,1
27133577,"The supermodel wanted to congratulate Malala on her Nobel Prize but mistakenly typed Malaria instead of Malala. She blamed her iPhone auto-correct for the mistake. She wrote ""Darlings my iPhone and I are at odds it seems I type a word it seems to spit out another, forgive me"".",malaria,2
87121609,Men you see your lives. Who’s now the weaker sex.Haven’t you observe what happens when fathers are sick compared to when mothers are sick?The same malaria but father will look like he will die the next minute.,malaria,1
9281313,"60 stroke of (CANE) of that thing wey he dey under your pant we be a nice gift, I think that we make her happy, abi weting u think Mr. Givers Never Lack",stroke,1
7190077,Baby it's always been therealthough hidden under wraps and away from public view but very¬† much¬† still¬† there!¬† If your sure 'tis malaria then don't wait till tomorrowtake something now to ease the pain baby¬†,malaria,0
43878166,"Thanks dear,no plus sign on d result ,Js malaria trophozoite...i hv decided to chill and manage myself till next week.",malaria,0
90361090,"The thing don turn malaria. We have been treating at home. There is no escaping it, it will run its full course before it ends. At the end of the day we will have a stronger more immune society .",malaria,1
20164807,"P.f stands for Plasmodium falciparum, one of the most common malaria causing species. The result shows that the malaria is quite serious and the typhoid is relatively mild. I'll advise the person to go get treatment for both diseases asap.",malaria,1
26373644,"I took a codeine induced drug for malaria treatment,and I remember my head turning 360 degrees and was Jumping gutter that FASHOLA never construct an as I managed to sleep,na so I see my grandmother they chew bubble-gum ;Dand my grandpapa don join boys-scout ...oluwa!",malaria,0
65246771,"by the time buhari wins in 2019, you go get heart attack",heart attack,2
28615108,"thank God it didn't happen in naija, it would have been another malaria case",malaria,1
75051662,Assin eh!! The malaria abi na high fever wey do me the other day don clear.I dey reason typhoid fever now....,malaria,0
59910059,Please is deworming necessary for adults? It's been ages I took deworming drugs.Does it have effect on immunity because malaria deals with me always..Thanks.,malaria,0
58398724,So u want someone that will give u heart attack?,heart attack,1
51097539,"No p,my 16wk was actually my ist visit and there I was told I was due for my TT injection and preventive malaria medicine.being a first timer,you shld make your 1St visit at 12 wks(most hospitals recommend that).",malaria,1
24408518,"Why did he not do the flushing first and ask yu to go try conceiving before proceeding? Mtcheeew. Irrelevant tests..malaria,malaria parasite,hiv, hepatitis A-E lolll. And plenty plenty like that. I know he go see malaria cos I don but lonart to use sef. Lolll.",hepatitis,1
67463437,"we Nurses love it like that. Johesu is fighting fg, you malaria and typhoid specialists carry una busy body enter. That cleaner you are seeing as nobody is somebody and deserves respect which you people are not taught about in the medical school.",malaria,2
50200071,"Try natural medicine, herbs or Agbo it's a reliever even thou it's not the total cure, but you'll feel better. The cure for complicated-cerebral malaria, typhoid or whattevar is only God, miracle! You heard me right.",malaria,1
86288351,Influenza is a normal sickness... abeg. It is due to cold and flushot is taken to prevent it... also it is just like malaria is to Nigerians,malaria,1
16133573,like you have celebral malaria.which kind thwart reasoning.lag and abj na sun rise state of biafra? PG 18,malaria,2
37462941,It shall end in praise.Why IV(drip)? Are you prostrate? You sure say you get malaria? ds one you dey active so. All the best.Really bad manners! Replying every insult instead of apologising and doing the needful.,malaria,1
107918222,How many did malaria kill?,malaria,1
90452108,So now they've open their asses...Do they think we receiving these news are senseless.. How can u discharge 222 people in a day?what drug was administered to them...malaria presumed cases I forgot This corntree matter no fit dey settled gan. SMH..God bless Nigeria!!,malaria,1
1317233,N300m- You guys should go and buy metalkaphin to clear the malaria. Is this a malaria dream or what?,malaria,1
108309286,And they are busy forcing covid 19 vaccine on Africa while malaria is killing millions yet they refuse to develop vaccine for it.,malaria,1
68921330,"Please oooo.......I am 12 weeks and just treated malaria....but av completely lost my appetite, I can't eat or keep anything down.....and I am seriously weak....help",malaria,0
9817622,Dude. When was the last time you were treated for malaria?,malaria,1
14174722,your grandfather wants to make it big as dangote who is presumed the richest man in africa. I think your grandfather has typhod and malaria,malaria,2
106459046,Sleeping inside a treated mosquito net is the best way to protect yourself from malaria.A Malaria-Free Nigeria. Play Your Part!,malaria,1
92971231,Nearly had a heart attack <user> abegg ooo congrats on your bundle of Joy,heart attack,2
82192623,"He may be right! From experience, Doctors and Hospitals advises you take your multivitamins and supplements only after you have completed your malaria treatment! They advise against taking multivitamins/ supplements together with malaria treatment!",malaria,1
105708767,"She got all the risk factors to die in the first place.Coro was just the culprit, as even ordinary Malaria would have killed her still.",malaria,0
18724106,<user> thnks for d postI'm 15 weeks preg. I hv malaria and d Dr prescribed Ogamal for me. I'm scared cos i had miscarriage on d 8th of march ds yr. Though my only hope is olive oil. I dont forget to rub it on my tummy daily.,malaria,0
72023534,Yeah This Pick Is A Political Master Stroke.Hope It Jells,stroke,2
92116887,"Suicidal tendency is a component of depression just like fever is a component of malaria, you dont blame a mad man for dancing naked pn the street since he is not in his right state of mind though it seems stupid.",malaria,1
67222255,"You mentioned dengue without mentioning the Almighty malaria, now we ll have more breeding sites for anopheles mosquitoes because of stagnant water in gutters, cans, tires and more bushes that harbour this vector ( A. arabienses, A. melas, A gambiea, A. funestus)",malaria,1
37824301,buh we prone to malaria ma nigga...,malaria,1
93229385,"Sounds somehow! complications of Tramadol and other opiods:.constipation -can lead to Haemorrhoids, hernia.Respiration Depression , can cause instant death . Hypertension -can cause heart failure, aneurysm, stroke Thank you.",stroke,1
3658895,The small ones like 2wattes and 3 wattes for bedroom etc .The bigger ones like 12 and 16 wattes for halls . These lights can keep you and your families away from malaria .,malaria,1
49769541,Zimbabwe ti take over. Kenya should go rest joor. Modified. The most painful thing is debit alert. Must you tell me I just withdrew #1000 from the remaining 4k in my account. Why bank go dey send pesin heart attack for nothing?,heart attack,2
69626014,Malaria have death with me let them start the sale immediately.,malaria,0
43824612,Stroke and other chronic heart/cardiovascular disease treatment and cure,stroke,1
95449918,I guess the number of persons having malaria is more than what’s there on statistics. What is worth doing is worth doing well,malaria,1
108308304,The leaders don't care cause malaria is not a communicable disease.Malaria kill Nigerians twice more than Covid but don't receive half of the attention our government gives to covid.,malaria,1
4948309,a mistake you said?that mistake can cause a heart attack my friend.,heart attack,1
3166396,"people like you don't seem to understand the phrase one nigeria isnt on the minds of most others the same way it is on yours.So getting worked up over mere words, will give you a heart attack. Not so for others.",heart attack,2
98258325,Nigeria from new world .Malaria have been senor to covid 19 .Every body is among malaria patient.,malaria,1
20307571,Mosquito net is the most effective way to prevent mosquito bite. The idea is NO BITE NO MALARIA. We customizes mosquito net for your bed. Give us call today or visit our web blog. mykingbiz com,malaria,1
35026053,She was 1st diagnosed of Flu 2ce? what is the proof that she died of Malaria.,malaria,0
77575257,"I went to the hospital today and was told i had malaria .In another news, Doctor prescribed Coartem but on getting to the pharmacist , she instead it wasnt safe since pregnancy isn't up to 3 months .Torn between the two professionals now , don't know whom to follow . mothers what do you think ?",malaria,0
88944737,"artemisia, is a common malaria drug. Is not possible.",malaria,1
5098123,"is it compulsory that wenever u get t the clinic that u are sick, they run a testand next thing is that u r tld u have malaria nd tyhoid.lets get the way out of this pls",malaria,1
40761789,jesus this news almost gave me a heart attack oh my God this is the worst yet ........,heart attack,2
4346761,WHERE ARE THE REHAB CENTRES?WHERE ARE THE FREE CLINICS?WHERE ARE THE AFFORDABLE SCHOOLS FOR THE POOR?It would be nice if you can provide us the addresses of these wonderful facilities set up by daddy G.O.There's no time to waste!Every 30 seconds a child dies of malaria!,malaria,1
6096718,Na wa O! dis pikin wan give im mama heart attack!,heart attack,2
